id	long	lat	nombre	sucursal	telefonos	mail	calle	altura	piso_dpto	calle_cruce	barrio	comuna	codigo_postal	codigo_postal_argentino
787	-58.3711538495153	-34.6027372335125	Banco Del Sol	Sucursal - Casa Central	4314-0936	buzon@bdsol.com.ar	25 DE MAYO	432	PISO 9		San Nicolas	1	1002	C1002ABJ
784	-58.3711834237737	-34.6013564945254	Banco Bradesco Argentina S. A.	Sucursal - Casa Central	4114-6111		25 DE MAYO	555			San Nicolas	1	1002	C1002ABK
777	-58.3712262926671	-34.6017874472069	C. C. C. La Capital Del Plata Ltda.	Sucursal - Casa Matriz	5252-0100		25 DE MAYO	522			San Nicolas	1	1002	C1002ABL
764	-58.3711710296084	-34.602506955372	Banco Formosa	Sucursal - Buenos Aires	5254-9060		25 DE MAYO	454			San Nicolas	1	1002	C1002ABJ
756	-58.3712382174527	-34.6016276392146	Banco De Inversion Y Comercio Exterior	Sucursal - Sede Central	5217-4700/4317-6900	mendoncf@piano.com.ar	25 DE MAYO	526			San Nicolas	1	1002	C1002ABL
719	-58.3711161330382	-34.6022798799004	Bnp Paribas	Sucursal  - Central	4318-0318		25 DE MAYO	471			San Nicolas	1	1002	C1002ABI
717	-58.3708853077048	-34.6055136157596	The Bank Of New York Mellon	Sucursal - Buenos Aires	4342-8837		25 DE MAYO	195			San Nicolas	1	1002	C1002ABC
580	-58.3709501109244	-34.6046254984384	Banco Chubut	Sucursal - Buenos Aires	4331-7979		25 DE MAYO	273	PB		San Nicolas	1	1002	C1002ABE
504	-58.3709250172114	-34.6061642201053	Banco Santander Rio	Sucursal 201 - 25 De Mayo	4341-3126/4341-3128/4341-3129/4341-3130/4341-3131		25 DE MAYO	140			San Nicolas	1	1002	C1002ABD
44	-58.3710354705766	-34.604424709379	Banco Ciudad De Buenos Aires	Sucursal 46 - Micro Centro	4342-2668/4342-6269		25 DE MAYO	294			San Nicolas	1	1002	C1002ABF
36	-58.4367884302826	-34.617453317242	Banco Ciudad De Buenos Aires	Sucursal 33 - Caballito	4904-1082/4902-1947	suc33@bancociudad.com.ar	ACOYTE AV.	71			Caballito	6	1405	C1405BFA
724	-58.3973711911247	-34.5871312902149	Bnp Paribas	Sucursal - La Isla	4804-0441		AGOTE LUIS DR.	2202			Recoleta	2	1425	C1425EOB
384	-58.5073848939636	-34.655595183244	Bbva Banco Frances	Sucursal 328 - Mataderos	4686-1395/4687-2064/4687-2164/4687-2364		ALBERDI JUAN B.	6401			Mataderos	9	1440	C1440ABC
776	-58.5036641881944	-34.6525246360938	Compañia Financiera Argentina	Sucursal - Mataderos	4682-5998		ALBERDI JUAN BAUTISTA AV	5943			Mataderos	9	1440	C1440AAK
689	-58.5154437877147	-34.6607313795436	Banco Itau	Sucursal 038 - Mataderos	4687-6162/4687-6362/4687-6462		ALBERDI JUAN BAUTISTA AV	7283			Mataderos	9	1440	C1440ABK
688	-58.5039479319386	-34.6527959666476	Banco Itau	Sucursal 030 - Mataderos	4635-5797/4635-5806/4635-5807		ALBERDI JUAN BAUTISTA AV	5985			Mataderos	9	1440	C1440AAK
651	-58.5035916749446	-34.652863528907	Banco Credicoop Cooperativo Limitado	Sucursal 50 - Mataderos	4687-6154		ALBERDI JUAN BAUTISTA AV	5964			Mataderos	9	1440	C1440AAX
615	-58.5168917185057	-34.6615490301836	Hsbc Bank Argentina S. A.	Sucursal - Mataderos	4687-9203/4687-9313/4687-9413		ALBERDI JUAN BAUTISTA AV	7401			Mataderos	9	1440	C1440ABM
565	-58.5031383931186	-34.6524300732914	Banco Macro	Sucursal - Mataderos			ALBERDI JUAN BAUTISTA AV	5902			Mataderos	9	1440	C1440AAX
470	-58.5060033443061	-34.6547858542839	Banco Santander Rio	Sucursal 26 - Mataderos	4110-1800		ALBERDI JUAN BAUTISTA AV	6224			Mataderos	9	1440	C1440ABN
