barrio	x	y	area
PALERMO	-58.422435	-34.573902	15.8
VILLA LUGANO	-58.476167	-34.674993	9.3
VILLA SOLDATI	-58.446602	-34.665378	8.7
FLORES	-58.458268	-34.636803	8.6
BARRACAS	-58.384275	-34.646418	8.0
BELGRANO	-58.450298	-34.554892	7.9
MATADEROS	-58.501737	-34.658373	7.4
CABALLITO	-58.443603	-34.616825	6.9
VILLA DEVOTO	-58.514282	-34.602355	6.4
RECOLETA	-58.395219	-34.586238	6.1
SAAVEDRA	-58.488745	-34.553076	5.5
VILLA URQUIZA	-58.487856	-34.571541	5.4
BOCA	-58.356880	-34.631116	5.0
PUERTO MADERO	-58.355713	-34.609054	5.0
NUEVA POMPEYA	-58.418853	-34.650544	5.0
PARQUE AVELLANEDA	-58.476455	-34.648642	4.7
RETIRO	-58.375922	-34.588412	4.5
LINIERS	-58.519128	-34.643796	4.4
NUÑEZ	-58.462859	-34.543738	4.3
BALVANERA	-58.403062	-34.609099	4.3
VILLA RIACHUELO	-58.463350	-34.691858	4.2
ALMAGRO	-58.421745	-34.609227	4.1
PARQUE CHACABUCO	-58.437696	-34.635940	3.8
PARQUE PATRICIOS	-58.401675	-34.637550	3.7
VILLA CRESPO	-58.442722	-34.598834	3.6
VILLA DEL PARQUE	-58.490677	-34.604247	3.4
VILLA PUEYRREDON	-58.503499	-34.582103	3.3
CHACARITA	-58.454175	-34.588372	3.1
MONTE CASTRO	-58.506581	-34.619298	2.6
BOEDO	-58.418840	-34.629960	2.6
VILLA LURO	-58.502729	-34.636413	2.6
VELEZ SARSFIELD	-58.493277	-34.631361	2.4
FLORESTA	-58.483588	-34.627686	2.3
COLEGIALES	-58.450968	-34.574642	2.3
SAN NICOLAS	-58.380515	-34.603666	2.3
PATERNAL	-58.468665	-34.597421	2.2
MONSERRAT	-58.379648	-34.612686	2.2
VILLA GRAL. MITRE	-58.468943	-34.610029	2.2
VILLA SANTA RITA	-58.482957	-34.616193	2.2
AGRONOMIA	-58.488673	-34.592945	2.1
CONSTITUCION	-58.384388	-34.625044	2.1
SAN CRISTOBAL	-58.401884	-34.623865	2.0
VILLA ORTUZAR	-58.467651	-34.580973	1.9
VERSALLES	-58.522417	-34.630123	1.4
PARQUE CHAS	-58.479121	-34.585523	1.4
VILLA REAL	-58.526039	-34.619493	1.3
COGHLAN	-58.474944	-34.560624	1.3
SAN TELMO	-58.371541	-34.621520	1.2
