Municipio	Circuito Electoral	Electores Masculinos	Electores Femeninos
AVIA TERAI	110	79	60
AVIA TERAI	112	3211	3053
BARRANQUERAS	9	4840	5080
BARRANQUERAS	10	4768	5015
BARRANQUERAS	11 A	4300	4582
BARRANQUERAS	11 B	8946	9755
BASAIL	26	2990	2130
CAMPO LARGO	113	4574	4365
CAMPO LARGO	114	189	118
CAPITAN SOLARI	42	1066	956
CHARADAI	69	113	99
CHARADAI	70	738	664
CHARADAI	71	59	54
CHARADAI	72	27	14
CHARATA	119	13061	13488
CHARATA	120	520	415
CHOROTIS	129	927	711
CIERVO PETISO	67	577	452
COLONIA BENITEZ	28	2037	1758
COLONIA BENITEZ	28 A	434	386
COLONIA ELISA	41	2259	2095
COLONIA POPULAR	33	769	505
COLONIAS UNIDAS	43	1945	1833
CONCEP.DEL BERMEJO	130	2715	2530
CORONEL DU GRATY	80	4718	4621
CORZUELA	115	5231	5036
CORZUELA	116	1	1
COTE LAI	36	7	1
COTE LAI	68	754	668
EL ESPINILLO	139	1585	1408
EL SAUZALITO	134 B	2791	2352
EL SAUZALITO	134 C	616	531
ENRIQUE URIEN	76	733	538
FONTANA	22 A	4256	4395
FONTANA	22 B	5233	5482
FONTANA	23	5356	5555
FUERTE ESPERANZA	134 A	827	703
FUERTE ESPERANZA	135 A	1413	1178
G. J. DE SAN MARTIN	61	887	693
G. J. DE SAN MARTIN	62	12957	13359
G. J. DE SAN MARTIN	63	420	317
GANCEDO	125	2303	2025
GENERAL CAPDEVILA	124	425	303
GENERAL PINEDO	121	575	441
GENERAL PINEDO	122	6574	6340
GENERAL PINEDO	123	331	283
GENERAL VEDIA	54	1730	1505
GENERAL VEDIA	56	8	6
HERMOSO CAMPO	126	3066	3010
HERMOSO CAMPO	127	159	85
ISLA DEL CERRITO	49	967	814
JUAN JOSE CASTELLI	136	14216	14369
JUAN JOSE CASTELLI	137	725	629
JUAN JOSE CASTELLI	138 A	347	282
LA CLOTILDE	85	2234	2102
LA EDUVIGIS	31	3	0
LA EDUVIGIS	58	468	415
LA EDUVIGIS	59	471	378
LA ESCONDIDA	40	1861	1744
LA LEONESA	50	309	223
LA LEONESA	51	121	95
LA LEONESA	53	4380	4485
LA LEONESA	57	142	109
LA TIGRA	86	2226	2041
LA VERDE	39	1592	1483
LAGUNA BLANCA	34	430	418
LAGUNA LIMPIA	66	830	738
LAPACHITO	37	492	495
LAS BREÑAS	117	11156	11236
LAS BREÑAS	117 A	201	160
