"NAME","NOMBRE","JCC2010","ONE2010","TSP2009","ASI2010","TMM2011","MED2001","EDU2000","EDU2001","EDU2002","EDU2003","EDU2004","EDU2005","EDU2006","EDU2007","EDU2008","EDU2009","EDU2010","MID1999","MID2000","MID2001","MID2002","MID2003","MID2004","MID2005","MID2006","MID2007","MID2008","MID2009","MID2010","MID2011","MMD1999","MMD2000","MMD2001","MMD2002","MMD2003","MMD2004","MMD2005","MMD2006","MMD2007","MMD2008","MMD2009","MMD2010","MMD2011","IDH2009","DEP2001","DEP2010","POB2010","PBG2011","COP2011","REC2011","GPT2011","ICI2011","TPP2013","SDP2012","ELEC2011","PART2012","DIP1983","DIP1985","DIP1987","DIP1989","DIP1991","DIP1993","DIP1995","DIP1997","DIP1999","DIP2001","DIP2003","DIP2005","DIP2007","DIP2009","PAS2011","DIP2011","VEN1987","VEN2011","VEN1991","VEN1995","VEN1998","VEN2003","VEN2007","JCC2010X","ONE2010X","TSP2009X","ASI2010X","TMM2011X","MED2001X","EDU2000X","EDU2001X","EDU2002X","EDU2003X","EDU2004X","EDU2005X","EDU2006X","EDU2007X","EDU2008X","EDU2009X","EDU2010X","MID1999X","MID2000X","MID2001X","MID2002X","MID2003X","MID2004X","MID2005X","MID2006X","MID2007X","MID2008X","MID2009X","MID2010X","MID2011X","MMD1999X","MMD2000X","MMD2001X","MMD2002X","MMD2003X","MMD2004X","MMD2005X","MMD2006X","MMD2007X","MMD2008X","MMD2009X","MMD2010X","MMD2011X","IDH2009X","DEP2001X","DEP2010X","POB2010X","PBG2011X","COP2011X","REC2011X","GPT2011X","ICI2011X","TPP2013X","SDP2012X","ELEC2011X","PART2012X","DIP1983X","DIP1985X","DIP1987X","DIP1989X","DIP1991X","DIP1993X","DIP1995X","DIP1997X","DIP1999X","DIP2001X","DIP2003X","DIP2005X","DIP2007X","DIP2009X","PAS2011X","DIP2011X","VEN1987X","VEN2011X","VEN1991X","VEN1995X","VEN1998X","VEN2003X","VEN2007X"
"Buenos Aires","Buenos Aires",4.8,27.8,37.4,85.1,3.2,26.7,1122,1110,1049,1134,1437,2121,2761,3574,4977,6061,6819,16.6,15.1,15.0,15.8,16.3,13.0,13.0,12.5,13.6,12.4,12.5,12.0,11.8,19.0,17.2,17.1,18.0,18.1,14.9,14.7,14.4,15.6,14.1,14.3,13.6,13.4,0.818,59.2,55.1,15625084,801271,1470,2252,5244,31.0,7.98,7.6,10698384,58,15,12,15,11,17,19,19,10,13,18,26,26,25,18,13,7,35.0,47.6,41.4,53.4,41.0,40.0,44.8,"4,8%","27,8%","37,4%","85,1%","3,2%&#8320;&#8320;","26,7%&#8320;&#8320;","$ 1.122","$ 1.110","$ 1.049","$ 1.134","$ 1.437","$ 2.121","$ 2.761","$ 3.574","$ 4.977","$ 6.061","$ 6.819","16,6&#8240;","15,1&#8240;","15,0&#8240;","15,8&#8240;","16,3&#8240;","13,0&#8240;","13,0&#8240;","12,5&#8240;","13,6&#8240;","12,4&#8240;","12,5&#8240;","12,0&#8240;","11,8&#8240;","19,0&#8240;","17,2&#8240;","17,1&#8240;","18,0&#8240;","18,1&#8240;","14,9&#8240;","14,7&#8240;","14,4&#8240;","15,6&#8240;","14,1&#8240;","14,3&#8240;","13,6&#8240;","13,4&#8240;","0,818","59,2%","55,1%","15.625.084","801.271","$ 1.470","$ 2.252","$ 5.244","31,0%","8,0","7,6%","10.698.384","58","15","12","15","11","17","19","19","10","13","18","26","26","25","18","13","7","35,0%","47,6%","41,4%","53,4%","41,0%","40,0%","44,8%"
"Catamarca","Catamarca",12.6,54.1,36.9,84.8,7.6,20.0,1419,1332,1310,1385,1684,2529,3485,4485,6577,7344,8247,20.3,21.0,15.5,20.6,20.1,21.8,16.8,15.4,14.9,15.3,14.5,15.4,14.0,24.2,24.0,17.9,22.9,22.4,24.6,18.5,17.7,17.1,17.2,16.0,17.5,15.7,0.815,69.8,59.0,367828,10759,7823,1290,13997,55.7,8.43,12.2,257470,22,14,8,9,10,7,7,10,5,7,6,10,6,11,6,11,5,49.1,32.0,27.4,48.3,43.1,42.8,51.2,"12,6%","54,1%","36,9%","84,8%","7,6%&#8320;&#8320;","20,0%&#8320;&#8320;","$ 1.419","$ 1.332","$ 1.310","$ 1.385","$ 1.684","$ 2.529","$ 3.485","$ 4.485","$ 6.577","$ 7.344","$ 8.247","20,3&#8240;","21,0&#8240;","15,5&#8240;","20,6&#8240;","20,1&#8240;","21,8&#8240;","16,8&#8240;","15,4&#8240;","14,9&#8240;","15,3&#8240;","14,5&#8240;","15,4&#8240;","14,0&#8240;","24,2&#8240;","24,0&#8240;","17,9&#8240;","22,9&#8240;","22,4&#8240;","24,6&#8240;","18,5&#8240;","17,7&#8240;","17,1&#8240;","17,2&#8240;","16,0&#8240;","17,5&#8240;","15,7&#8240;","0,815","69,8%","59,0%","367.828","10.759","$ 7.823","$ 1.290","$ 13.997","55,7%","8,4","12,2%","257.470","22","14","8","9","10","7","7","10","5","7","6","10","6","11","6","11","5","49,1%","32,0%","27,4%","48,3%","43,1%","42,8%","51,2%"
"Chaco","Chaco",7.1,51.2,46.0,73.0,8.6,17.6,978,912,936,1023,1307,1784,2291,3325,4521,5270,6402,29.0,21.9,24.0,26.7,27.7,21.3,19.9,18.9,21.2,18.0,17.8,14.7,11.4,34.2,26.7,29.5,32.5,34.6,25.1,23.0,23.5,25.4,21.9,21.2,17.8,14.1,0.794,73.0,59.5,1055259,37995,4894,1062,9617,50.2,4.53,13.8,757234,22,11,10,8,9,7,10,8,5,6,6,10,9,18,7,15,6,43.2,59.9,26.6,-6.3,45.0,45.6,39.0,"7,1%","51,2%","46,0%","73,0%","8,6%&#8320;&#8320;","17,6%&#8320;&#8320;","$ 978","$ 912","$ 936","$ 1.023","$ 1.307","$ 1.784","$ 2.291","$ 3.325","$ 4.521","$ 5.270","$ 6.402","29,0&#8240;","21,9&#8240;","24,0&#8240;","26,7&#8240;","27,7&#8240;","21,3&#8240;","19,9&#8240;","18,9&#8240;","21,2&#8240;","18,0&#8240;","17,8&#8240;","14,7&#8240;","11,4&#8240;","34,2&#8240;","26,7&#8240;","29,5&#8240;","32,5&#8240;","34,6&#8240;","25,1&#8240;","23,0&#8240;","23,5&#8240;","25,4&#8240;","21,9&#8240;","21,2&#8240;","17,8&#8240;","14,1&#8240;","0,794","73,0%","59,5%","1.055.259","37.995","$ 4.894","$ 1.062","$ 9.617","50,2%","4,5","13,8%","757.234","22","11","10","8","9","7","10","8","5","6","6","10","9","18","7","15","6","43,2%","59,9%","26,6%","-6,3%","45,0%","45,6%","39,0%"
"Chubut","Chubut",7.7,30.3,43.1,86.4,5.1,23.2,1222,1206,1347,1885,2587,3728,4378,5587,7205,8053,10606,17.9,15.8,13.1,17.8,15.1,11.8,11.7,11.5,11.0,10.4,9.4,9.8,10.2,20.0,18.5,15.1,20.0,17.2,13.5,13.2,12.9,12.7,11.5,11.4,11.7,12.3,0.833,59.8,51.6,509108,18221,3310,2479,13068,26.3,4.43,5.3,359304,9,12,8,12,10,10,5,8,5,5,8,8,7,8,7,7,6,33.4,31.9,-5.9,51.0,28.5,31.4,69.0,"7,7%","30,3%","43,1%","86,4%","5,1%&#8320;&#8320;","23,2%&#8320;&#8320;","$ 1.222","$ 1.206","$ 1.347","$ 1.885","$ 2.587","$ 3.728","$ 4.378","$ 5.587","$ 7.205","$ 8.053","$ 10.606","17,9&#8240;","15,8&#8240;","13,1&#8240;","17,8&#8240;","15,1&#8240;","11,8&#8240;","11,7&#8240;","11,5&#8240;","11,0&#8240;","10,4&#8240;","9,4&#8240;","9,8&#8240;","10,2&#8240;","20,0&#8240;","18,5&#8240;","15,1&#8240;","20,0&#8240;","17,2&#8240;","13,5&#8240;","13,2&#8240;","12,9&#8240;","12,7&#8240;","11,5&#8240;","11,4&#8240;","11,7&#8240;","12,3&#8240;","0,833","59,8%","51,6%","509.108","18.221","$ 3.310","$ 2.479","$ 13.068","26,3%","4,4","5,3%","359.304","9","12","8","12","10","10","5","8","5","5","8","8","7","8","7","7","6","33,4%","31,9%","-5,9%","51,0%","28,5%","31,4%","69,0%"
"Ciudad de Buenos Aires","Ciudad de Buenos Aires",34.9,13.3,31.8,90.5,1.3,110.6,2157,2135,1993,2115,2384,3282,4972,5969,7586,9115,11102,10.7,9.4,9.6,10.0,10.3,8.7,8.0,8.3,8.4,7.7,8.5,7.0,8.8,12.5,10.7,10.9,11.4,12.0,10.1,9.4,9.7,9.8,9.1,9.9,8.2,10.0,0.876,51.8,48.7,2890151,302009,888,7482,9359,9.8,8.28,1.9,2467073,37,13,14,16,10,21,19,19,15,16,19,33,29,30,23,15,11,,42.1,,,45.4,31.1,17.2,"34,9%","13,3%","31,8%","90,5%","1,3%&#8320;&#8320;","110,6%&#8320;&#8320;","$ 2.157","$ 2.135","$ 1.993","$ 2.115","$ 2.384","$ 3.282","$ 4.972","$ 5.969","$ 7.586","$ 9.115","$ 11.102","10,7&#8240;","9,4&#8240;","9,6&#8240;","10,0&#8240;","10,3&#8240;","8,7&#8240;","8,0&#8240;","8,3&#8240;","8,4&#8240;","7,7&#8240;","8,5&#8240;","7,0&#8240;","8,8&#8240;","12,5&#8240;","10,7&#8240;","10,9&#8240;","11,4&#8240;","12,0&#8240;","10,1&#8240;","9,4&#8240;","9,7&#8240;","9,8&#8240;","9,1&#8240;","9,9&#8240;","8,2&#8240;","10,0&#8240;","0,876","51,8%","48,7%","2.890.151","302.009","$ 888","$ 7.482","$ 9.359","9,8%","8,3","1,9%","2.467.073","37","13","14","16","10","21","19","19","15","16","19","33","29","30","23","15","11","%","42,1%","%","%","45,4%","31,1%","17,2%"
"Cordoba","C&oacute;rdoba",15.4,24.8,28.2,79.5,1.9,44.1,1181,1219,1051,1120,1297,1754,2233,2888,4191,4993,5938,15.3,15.0,16.2,14.8,14.3,12.7,11.9,11.6,12.7,12.1,10.7,11.1,10.8,18.0,17.6,19.2,17.0,16.6,14.4,13.9,13.5,14.9,14.0,12.3,12.7,12.1,0.846,59.4,55.1,3308876,114692,2797,2124,6965,41.3,9.10,9.8,2499708,43,13,10,11,8,13,11,9,8,13,22,21,14,23,23,15,8,44.0,37.4,48.0,41.3,33.0,45.8,29.3,"15,4%","24,8%","28,2%","79,5%","1,9%&#8320;&#8320;","44,1%&#8320;&#8320;","$ 1.181","$ 1.219","$ 1.051","$ 1.120","$ 1.297","$ 1.754","$ 2.233","$ 2.888","$ 4.191","$ 4.993","$ 5.938","15,3&#8240;","15,0&#8240;","16,2&#8240;","14,8&#8240;","14,3&#8240;","12,7&#8240;","11,9&#8240;","11,6&#8240;","12,7&#8240;","12,1&#8240;","10,7&#8240;","11,1&#8240;","10,8&#8240;","18,0&#8240;","17,6&#8240;","19,2&#8240;","17,0&#8240;","16,6&#8240;","14,4&#8240;","13,9&#8240;","13,5&#8240;","14,9&#8240;","14,0&#8240;","12,3&#8240;","12,7&#8240;","12,1&#8240;","0,846","59,4%","55,1%","3.308.876","114.692","$ 2.797","$ 2.124","$ 6.965","41,3%","9,1","9,8%","2.499.708","43","13","10","11","8","13","11","9","8","13","22","21","14","23","23","15","8","44,0%","37,4%","48,0%","41,3%","33,0%","45,8%","29,3%"
"Corrientes","Corrientes",1.1,44.5,41.0,77.7,5.3,23.8,857,801,788,855,1064,1725,1850,2415,3358,3793,4624,22.9,30.4,23.5,23.8,21.1,19.3,18.2,17.5,15.6,17.1,15.3,16.8,15.7,25.7,33.8,27.2,27.4,24.0,21.9,20.6,20.0,18.4,19.5,16.8,18.3,17.3,0.809,70.7,59.3,992595,32053,3905,803,7070,56.4,4.05,6.5,698984,28,12,8,13,10,11,9,10,5,9,6,11,31,32,30,8,6,38.8,,37.4,-0.4,29.1,50.7,20.4,"1,1%","44,5%","41,0%","77,7%","5,3%&#8320;&#8320;","23,8%&#8320;&#8320;","$ 857","$ 801","$ 788","$ 855","$ 1.064","$ 1.725","$ 1.850","$ 2.415","$ 3.358","$ 3.793","$ 4.624","22,9&#8240;","30,4&#8240;","23,5&#8240;","23,8&#8240;","21,1&#8240;","19,3&#8240;","18,2&#8240;","17,5&#8240;","15,6&#8240;","17,1&#8240;","15,3&#8240;","16,8&#8240;","15,7&#8240;","25,7&#8240;","33,8&#8240;","27,2&#8240;","27,4&#8240;","24,0&#8240;","21,9&#8240;","20,6&#8240;","20,0&#8240;","18,4&#8240;","19,5&#8240;","16,8&#8240;","18,3&#8240;","17,3&#8240;","0,809","70,7%","59,3%","992.595","32.053","$ 3.905","$ 803","$ 7.070","56,4%","4,1","6,5%","698.984","28","12","8","13","10","11","9","10","5","9","6","11","31","32","30","8","6","38,8%","%","37,4%","-0,4%","29,1%","50,7%","20,4%"
"Entre Rios","Entre R&iacute;os",5.1,27.9,37.2,77.8,5.4,20.6,1173,1040,1033,1088,1528,2004,2515,3352,4681,5599,6901,19.5,16.9,14.9,16.5,17.2,15.5,13.2,12.6,11.9,13.5,11.8,11.6,11.0,21.7,18.8,16.8,18.6,19.2,17.5,15.5,14.6,14.4,15.3,13.3,13.4,12.8,0.822,64.6,57.5,1235994,47562,4131,1582,8600,47.3,8.68,8.3,920439,12,13,9,10,11,5,6,7,3,6,9,7,8,12,10,8,7,35.7,47.2,40.0,37.0,34.4,23.4,39.4,"5,1%","27,9%","37,2%","77,8%","5,4%&#8320;&#8320;","20,6%&#8320;&#8320;","$ 1.173","$ 1.040","$ 1.033","$ 1.088","$ 1.528","$ 2.004","$ 2.515","$ 3.352","$ 4.681","$ 5.599","$ 6.901","19,5&#8240;","16,9&#8240;","14,9&#8240;","16,5&#8240;","17,2&#8240;","15,5&#8240;","13,2&#8240;","12,6&#8240;","11,9&#8240;","13,5&#8240;","11,8&#8240;","11,6&#8240;","11,0&#8240;","21,7&#8240;","18,8&#8240;","16,8&#8240;","18,6&#8240;","19,2&#8240;","17,5&#8240;","15,5&#8240;","14,6&#8240;","14,4&#8240;","15,3&#8240;","13,3&#8240;","13,4&#8240;","12,8&#8240;","0,822","64,6%","57,5%","1.235.994","47.562","$ 4.131","$ 1.582","$ 8.600","47,3%","8,7","8,3%","920.439","12","13","9","10","11","5","6","7","3","6","9","7","8","12","10","8","7","35,7%","47,2%","40,0%","37,0%","34,4%","23,4%","39,4%"
"Formosa","Formosa",8.2,53.9,43.2,80.8,12.3,14.8,1000,1009,938,1000,1161,1676,2398,3512,4549,5673,6840,23.6,23.0,28.9,25.5,25.0,25.1,22.9,24.2,22.9,19.2,20.5,17.8,21.2,29.4,29.3,36.1,32.6,31.3,30.1,27.3,31.2,28.9,24.2,24.8,22.8,25.5,0.773,76.3,62.6,530162,15075,7143,680,12907,54.5,5.85,26.4,360307,23,10,11,6,9,10,4,7,3,6,11,7,7,9,2,9,4,41.2,70.2,37.3,45.8,60.6,64.7,71.2,"8,2%","53,9%","43,2%","80,8%","12,3%&#8320;&#8320;","14,8%&#8320;&#8320;","$ 1.000","$ 1.009","$ 938","$ 1.000","$ 1.161","$ 1.676","$ 2.398","$ 3.512","$ 4.549","$ 5.673","$ 6.840","23,6&#8240;","23,0&#8240;","28,9&#8240;","25,5&#8240;","25,0&#8240;","25,1&#8240;","22,9&#8240;","24,2&#8240;","22,9&#8240;","19,2&#8240;","20,5&#8240;","17,8&#8240;","21,2&#8240;","29,4&#8240;","29,3&#8240;","36,1&#8240;","32,6&#8240;","31,3&#8240;","30,1&#8240;","27,3&#8240;","31,2&#8240;","28,9&#8240;","24,2&#8240;","24,8&#8240;","22,8&#8240;","25,5&#8240;","0,773","76,3%","62,6%","530.162","15.075","$ 7.143","$ 680","$ 12.907","54,5%","5,9","26,4%","360.307","23","10","11","6","9","10","4","7","3","6","11","7","7","9","2","9","4","41,2%","70,2%","37,3%","45,8%","60,6%","64,7%","71,2%"
"Jujuy","Jujuy",8.9,38.5,41.9,85.8,11.5,18.7,1042,1075,921,1109,1416,1911,2546,3508,4741,5542,7029,23.4,23.1,18.4,20.6,19.2,17.8,16.1,17.0,15.2,14.0,11.5,13.4,12.9,27.6,27.8,23.1,24.6,23.1,21.9,19.8,19.7,17.8,16.9,14.0,15.5,14.6,0.803,68.1,57.1,673307,14750,4424,752,9297,49.9,4.85,24.5,441760,18,12,12,12,12,10,6,10,5,6,8,9,10,12,8,8,7,38.3,50.5,41.9,39.8,1.1,50.3,28.0,"8,9%","38,5%","41,9%","85,8%","11,5%&#8320;&#8320;","18,7%&#8320;&#8320;","$ 1.042","$ 1.075","$ 921","$ 1.109","$ 1.416","$ 1.911","$ 2.546","$ 3.508","$ 4.741","$ 5.542","$ 7.029","23,4&#8240;","23,1&#8240;","18,4&#8240;","20,6&#8240;","19,2&#8240;","17,8&#8240;","16,1&#8240;","17,0&#8240;","15,2&#8240;","14,0&#8240;","11,5&#8240;","13,4&#8240;","12,9&#8240;","27,6&#8240;","27,8&#8240;","23,1&#8240;","24,6&#8240;","23,1&#8240;","21,9&#8240;","19,8&#8240;","19,7&#8240;","17,8&#8240;","16,9&#8240;","14,0&#8240;","15,5&#8240;","14,6&#8240;","0,803","68,1%","57,1%","673.307","14.750","$ 4.424","$ 752","$ 9.297","49,9%","4,9","24,5%","441.760","18","12","12","12","12","10","6","10","5","6","8","9","10","12","8","8","7","38,3%","50,5%","41,9%","39,8%","1,1%","50,3%","28,0%"
