cueanexo	provincia	departamento	localidad	nombre	ambito	sector_de_gestion	primaria	p_lengua_debajo_basico	p_lengua_basico	p_lengua_satisfactorio	p_lengua_avanzado	lon	lat
020000100	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS	Urbano	Privado	1	2.033898314	13.81042062	40.79096049	43.36472058	-58.3624	-34.6377
020000200	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	CARLOS R. VIGNALE	Urbano	Estatal	1	18.18181818	20.90909091	45.45454545	15.45454545	-58.3617	-34.6323
020000300	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	INSTITUTO SAN CAYETANO	Urbano	Privado	1	0	0	26.92307692	73.07692308	-58.4568	-34.5669
020000500	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	INSTITUTO NUESTRA SEÑORA DEL ROSARIO	Urbano	Privado	1	5.357142857	28.57142857	26.78571429	39.28571429	-58.4555	-34.565
020000700	Ciudad de Buenos Aires	Comuna 9	CIUDAD DE BUENOS AIRES	INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS	Urbano	Privado	1	2.670940182	13.35042737	32.0897436	51.88888885	-58.5185	-34.6536
020000800	Ciudad de Buenos Aires	Comuna 9	CIUDAD DE BUENOS AIRES	DR MARTINIANO LEGUIZAMON	Urbano	Estatal	1	9.349593379	12.48548193	31.26209839	46.9028263	-58.5083	-34.6524
020000900	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	BENITO QUINQUELA MARTIN	Urbano	Estatal	1	12.8483607	23.70901628	38.48360664	24.95901637	-58.361	-34.639
020001000	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	JOSE JACINTO BERRUTTI	Urbano	Estatal	1	14.86686422	31.64201193	33.7795858	19.71153804	-58.3655	-34.6424
020001100	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	REPUBLICA ITALIANA	Urbano	Estatal	1	5	20	30	45	-58.3672	-34.6477
020001200	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	JUAN MARIA GUTIERREZ	Urbano	Estatal	1	11.53846119	17.09401675	55.12820547	16.23931658	-58.3679	-34.6419
020001700	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	ESCUELA DE LA ALDEA	Urbano	Privado	1	6.25	12.5	18.75	62.5	-58.4707	-34.552
020001800	Ciudad de Buenos Aires	Comuna 11	CIUDAD DE BUENOS AIRES	FRAY JUSTO SANTA MARIA DE ORO	Urbano	Estatal	1	9.722221945	25.39682508	37.30158746	27.57936552	-58.4711	-34.6037
020002200	Ciudad de Buenos Aires	Comuna 9	CIUDAD DE BUENOS AIRES	REPUBLICA DE FILIPINAS	Urbano	Estatal	1	2.463606029	18.47237756	55.6644268	23.39958961	-58.51	-34.6585
020002300	Ciudad de Buenos Aires	Comuna 9	CIUDAD DE BUENOS AIRES	JUAN RAMON JIMENEZ	Urbano	Estatal	1	4.761904762	9.523809524	42.85714286	42.85714286	-58.508	-34.6518
020002400	Ciudad de Buenos Aires	Comuna 10	CIUDAD DE BUENOS AIRES	RECUERDOS DE PROVINCIA	Urbano	Estatal	1	0	25.41666657	41.25000009	33.33333333	-58.4931	-34.6436
