Provincia	Partido	Localidad	ADSL	Cablemódem	Dial Up	Fibra óptica	4G	3G	Telefonía Fija	Wireless	Satelital	Indicador
BUENOS AIRES	25 de Mayo	25 de Mayo	1	1	0	1	1	1	1	1	1	8
BUENOS AIRES	25 de Mayo	Agustín Mosconi	0	0	0	0	0	0	1	0	0	1
BUENOS AIRES	25 de Mayo	Del Valle	1	0	0	0	1	1	0	0	1	4
BUENOS AIRES	25 de Mayo	Ernestina	1	0	0	0	0	0	1	0	0	2
BUENOS AIRES	25 de Mayo	Gobernador Ugarte	0	0	0	0	0	0	0	1	0	1
BUENOS AIRES	25 de Mayo	Lucas Monteverde	0	0	0	0	0	0	0	1	0	1
BUENOS AIRES	25 de Mayo	Norberto de la Riestra	0	1	0	1	1	1	1	1	0	6
BUENOS AIRES	25 de Mayo	Pedernales	1	0	0	1	1	0	1	1	0	5
BUENOS AIRES	25 de Mayo	San Enrique	0	0	0	0	0	0	1	0	0	1
BUENOS AIRES	25 de Mayo	Valdés	0	0	0	0	1	0	1	0	0	2
BUENOS AIRES	9 de Julio	12 de Octubre	0	0	0	0	0	0	1	1	0	2
BUENOS AIRES	9 de Julio	9 de Julio	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	9 de Julio	Alfredo Demarchi (Est. Facundo Quiroga)	1	0	0	0	1	1	1	0	0	4
BUENOS AIRES	9 de Julio	Carlos María Naón	0	0	0	0	1	1	1	0	0	3
BUENOS AIRES	9 de Julio	Dudignac	0	0	1	0	1	1	1	1	0	5
BUENOS AIRES	9 de Julio	La Aurora (Est. La Niña)	0	0	0	0	1	0	0	0	0	1
BUENOS AIRES	9 de Julio	Manuel B. Gonnet (Est. French)	1	0	0	1	1	1	1	0	0	5
BUENOS AIRES	9 de Julio	Marcelino Ugarte (Est. Dennehy)	0	0	0	0	1	0	1	0	0	2
BUENOS AIRES	9 de Julio	Morea	0	0	0	0	0	0	1	1	0	2
BUENOS AIRES	9 de Julio	Norumbega	0	0	0	0	0	0	1	0	0	1
BUENOS AIRES	9 de Julio	Patricios	1	0	0	0	0	1	1	1	0	4
BUENOS AIRES	9 de Julio	Villa General Fournier (Est. 9 de Julio Sud)	0	0	0	1	1	1	1	1	0	5
BUENOS AIRES	Adolfo Alsina	Carhué	1	0	1	1	1	1	1	1	0	7
BUENOS AIRES	Adolfo Alsina	Colonia San Miguel Arcángel	0	0	0	1	1	0	1	0	0	3
BUENOS AIRES	Adolfo Alsina	Delfín Huergo	0	0	0	0	0	0	0	0	0	0
BUENOS AIRES	Adolfo Alsina	Espartillar	0	0	0	0	1	0	0	0	0	1
BUENOS AIRES	Adolfo Alsina	Esteban Agustín Gascón	0	0	0	1	0	0	1	0	0	2
BUENOS AIRES	Adolfo Alsina	La Pala	0	0	0	0	0	0	0	0	0	0
BUENOS AIRES	Adolfo Alsina	Maza	0	0	0	1	1	1	1	1	1	6
BUENOS AIRES	Adolfo Alsina	Rivera	0	0	0	1	1	0	1	0	0	3
BUENOS AIRES	Adolfo Alsina	Thames	0	0	0	0	0	0	0	0	0	0
BUENOS AIRES	Adolfo Alsina	Villa Margarita	0	0	0	0	0	0	0	0	0	0
BUENOS AIRES	Adolfo Alsina	Yutuyaco	0	0	0	0	0	0	0	0	0	0
BUENOS AIRES	Adolfo Gonzales Chaves	Adolfo Gonzales Chaves (Est. Chaves)	1	0	1	1	1	1	1	1	0	7
BUENOS AIRES	Adolfo Gonzales Chaves	De la Garma	0	0	0	1	1	1	1	1	0	5
BUENOS AIRES	Adolfo Gonzales Chaves	Juan E. Barra	0	0	0	0	0	0	1	1	0	2
BUENOS AIRES	Adolfo Gonzales Chaves	Vásquez	0	0	0	0	1	1	1	1	0	4
BUENOS AIRES	Alberti	Alberti (Est. Andrés Vaccarezza)	1	0	1	1	1	1	1	1	0	7
BUENOS AIRES	Alberti	Coronel Seguí	0	0	0	0	0	0	0	0	0	0
BUENOS AIRES	Alberti	Mechita	1	0	0	0	1	1	0	0	0	3
BUENOS AIRES	Alberti	Pla	0	0	0	0	0	0	1	0	0	1
BUENOS AIRES	Alberti	Villa Grisolía (Est. Achupallas)	0	0	0	0	1	1	0	0	0	2
BUENOS AIRES	Alberti	Villa María	0	0	0	0	0	0	0	0	0	0
BUENOS AIRES	Alberti	Villa Ortiz (Est. Coronel Mom)	0	0	0	0	1	1	1	0	0	3
BUENOS AIRES	Almirante Brown	Adrogué	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	Almirante Brown	Burzaco	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	Almirante Brown	Claypole	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Almirante Brown	Don Orione	0	1	0	0	1	1	0	1	0	4
BUENOS AIRES	Almirante Brown	Glew	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Almirante Brown	Jose Mármol	0	1	1	1	1	1	1	1	0	7
BUENOS AIRES	Almirante Brown	Longchamps	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Almirante Brown	Malvinas Argentinas	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Almirante Brown	Ministro Rivadavia	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Almirante Brown	Rafael Calzada	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Almirante Brown	San Francisco Solano	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Almirante Brown	San Jose	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	Arrecifes	Arrecifes	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	Arrecifes	Todd	0	0	0	1	1	1	1	0	0	4
BUENOS AIRES	Arrecifes	Viña	1	1	0	0	1	1	0	0	0	4
BUENOS AIRES	Avellaneda	Area Reserva Cinturón Ecológico	0	0	0	0	1	1	0	0	0	2
BUENOS AIRES	Avellaneda	Avellaneda	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	Avellaneda	Crucesita	0	1	0	1	1	1	1	0	0	5
BUENOS AIRES	Avellaneda	Dock Sud	1	1	0	1	1	1	1	1	0	7
BUENOS AIRES	Avellaneda	Gerli	0	1	0	1	1	1	1	0	0	5
BUENOS AIRES	Avellaneda	Pineyro	0	1	0	1	1	1	1	0	0	5
BUENOS AIRES	Avellaneda	Sarandí	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	Avellaneda	Villa Domínico	1	1	0	1	1	1	1	1	0	7
BUENOS AIRES	Avellaneda	Wilde	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Ayacucho	Ayacucho	1	0	1	0	1	1	1	1	0	6
BUENOS AIRES	Ayacucho	La Constancia	0	0	0	0	0	0	0	1	0	1
BUENOS AIRES	Ayacucho	Solanet	0	0	0	0	1	0	0	1	0	2
BUENOS AIRES	Ayacucho	Udaquiola	0	0	0	0	0	0	0	1	1	2
BUENOS AIRES	Azul	16 de Julio	0	0	0	0	1	1	0	0	0	2
BUENOS AIRES	Azul	Ariel	0	0	0	0	1	0	0	0	0	1
BUENOS AIRES	Azul	Azul	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	Azul	Cacharí	0	0	1	0	1	1	1	1	0	5
BUENOS AIRES	Azul	Chillar	0	0	0	0	1	1	1	1	1	5
BUENOS AIRES	Bahía Blanca	Bahía Blanca	1	1	1	1	1	1	1	1	1	9
BUENOS AIRES	Bahía Blanca	Cabildo	0	1	1	1	1	1	1	1	0	7
BUENOS AIRES	Bahía Blanca	General Daniel Cerri (Est. General Cerri)	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Bahía Blanca	Grunbein	0	0	0	0	1	1	0	0	0	2
BUENOS AIRES	Bahía Blanca	Ingeniero White	0	0	0	1	1	1	0	0	1	4
BUENOS AIRES	Bahía Blanca	Villa Bordeau	0	0	0	0	1	1	0	0	0	2
BUENOS AIRES	Bahía Blanca	Villa Espora	0	0	0	0	0	0	0	0	0	0
BUENOS AIRES	Balcarce	Balcarce	1	1	1	1	1	1	1	1	0	8
BUENOS AIRES	Balcarce	Los Pinos	0	0	0	0	0	0	1	1	0	2
BUENOS AIRES	Balcarce	Napaleofú	0	0	0	1	1	1	1	1	0	5
BUENOS AIRES	Balcarce	Ramos Otero	0	0	0	0	1	0	0	1	0	2
BUENOS AIRES	Balcarce	San Agustín	0	0	0	0	0	0	1	1	0	2
BUENOS AIRES	Balcarce	Villa Laguna La Brava	0	0	0	0	1	1	1	1	0	4
BUENOS AIRES	Baradero	Baradero	1	1	0	1	1	1	1	1	1	8
