id	aglomerado	lat	lon
3	Bahía Blanca - Cerri	-38.717337	-62.265981
9	Cdro. Rivadavia - R.Tilly	-45.860199	-67.513135
32	Ciudad de Bs As	-34.604949	-58.454604
14	Concordia (Entre Rios)	-31.379639	-58.024349
12	Corrientes	-27.477901	-58.830295
15	Formosa	-26.179302	-58.183211
22	Gran Catamarca	-28.468752	-65.780652
13	Gran Córdoba (Cordoba)	-31.420946	-64.186068
2	Gran La Plata (Buenos Aires)	-34.920800	-57.954544
10	Gran Mendoza (Mendoza)	-32.889193	-68.844893
6	Gran Paraná (Entre Rios)	-31.740856	-60.512565
8	Gran Resistencia (Chaco)	-27.451502	-58.985896
4	Gran Rosario (Santa Fe)	-32.958508	-60.695948
27	Gran San Juan	-31.537157	-68.525068
5	Gran Santa Fe	-31.657370	-60.710627
29	Gran Tucumán - T.Viejo	-26.830448	-65.204063
19	Jujuy - Palpalá	-24.185684	-65.299547
25	La Rioja	-29.412806	-66.855906
34	Mar del Plata - Batán	-38.003671	-57.574354
17	Neuquén - Plottier	-38.951681	-68.059244
33	Partidos del GBA	-34.774730	-58.352494
7	Posadas	-27.366469	-55.894152
91	Rawson - Trelew	-43.299669	-65.099828
36	Río Cuarto (Cordoba)	-33.122646	-64.349745
20	Río Gallegos (Santa Cruz)	-51.623164	-69.216818
18	S.del Estero - La Banda	-27.787767	-64.259651
23	Salta	-24.789221	-65.410297
26	San Luis - El Chorrillo	-33.302132	-66.336935
38	San Nicolás (Buenos Aires) - Villa Constitución (Santa Fe)	-33.340945	-60.222847
30	Santa Rosa - Toay	-36.620714	-64.291713
31	Ushuaia - Río Grande	-54.800251	-68.304308
93	Viedma (Rio Negro) - Carmen de Patagones (Buenos Aires)	-40.811762	-62.996027
