id	provincia	año	total	varones	mujeres
02	CABA	2010	3028481	1405566	1622915
02	CABA	2011	3033639	1409835	1623804
02	CABA	2012	3038860	1414105	1624755
02	CABA	2013	3044076	1418339	1625737
02	CABA	2014	3049229	1422507	1626722
02	CABA	2015	3054267	1426582	1627685
02	CABA	2016	3059122	1430531	1628591
02	CABA	2017	3063728	1434323	1629405
02	CABA	2018	3068043	1437936	1630107
02	CABA	2019	3072029	1441350	1630679
02	CABA	2020	3075646	1444545	1631101
02	CABA	2021	3078836	1447495	1631341
02	CABA	2022	3081550	1450179	1631371
02	CABA	2023	3083770	1452588	1631182
02	CABA	2024	3085483	1454716	1630767
02	CABA	2025	3086680	1456560	1630120
02	CABA	2026	3087338	1458111	1629227
02	CABA	2027	3087434	1459359	1628075
02	CABA	2028	3086973	1460309	1626664
02	CABA	2029	3085971	1460970	1625001
02	CABA	2030	3084450	1461355	1623095
02	CABA	2031	3082415	1461471	1620944
02	CABA	2032	3079869	1461324	1618545
02	CABA	2033	3076845	1460932	1615913
02	CABA	2034	3073375	1460312	1613063
02	CABA	2035	3069488	1459479	1610009
02	CABA	2036	3065183	1458434	1606749
02	CABA	2037	3060454	1457173	1603281
02	CABA	2038	3055302	1455695	1599607
02	CABA	2039	3049723	1453997	1595726
02	CABA	2040	3043704	1452069	1591635
06	Buenos Aires	2010	15716942	7678592	8038350
06	Buenos Aires	2011	15909607	7776525	8133082
06	Buenos Aires	2012	16100618	7873684	8226934
06	Buenos Aires	2013	16289599	7969864	8319735
06	Buenos Aires	2014	16476149	8064849	8411300
06	Buenos Aires	2015	16659931	8158456	8501475
06	Buenos Aires	2016	16841135	8250777	8590358
06	Buenos Aires	2017	17020012	8341933	8678079
06	Buenos Aires	2018	17196396	8431831	8764565
06	Buenos Aires	2019	17370144	8520388	8849756
06	Buenos Aires	2020	17541141	8607537	8933604
06	Buenos Aires	2021	17709598	8693385	9016213
06	Buenos Aires	2022	17875743	8778048	9097695
06	Buenos Aires	2023	18039509	8861488	9178021
