id1	depto1	id2	depto2
06315	General Juan Madariaga	06511	Maipú
06315	General Juan Madariaga	06336	General Lavalle
06315	General Juan Madariaga	06868	Villa Gesell
06315	General Juan Madariaga	06644	Pinamar
06315	General Juan Madariaga	06518	Mar Chiquita
06623	Pergamino	06665	Ramallo
06623	Pergamino	06763	San Nicolás
06623	Pergamino	06714	Salto
06623	Pergamino	06686	Rojas
06539	Merlo	06560	Moreno
06539	Merlo	06568	Morón
06077	Arrecifes	06623	Pergamino
06077	Arrecifes	06665	Ramallo
06077	Arrecifes	06714	Salto
06077	Arrecifes	06140	Capitán Sarmiento
06077	Arrecifes	06770	San Pedro
06483	Lobos	06547	Monte
06483	Lobos	06574	Navarro
06483	Lobos	06693	Roque Pérez
06483	Lobos	06854	25 de Mayo
06511	Maipú	06812	Tordillo
06511	Maipú	06518	Mar Chiquita
06672	Rauch	06791	Tandil
06385	General Viamonte	06469	Lincoln
06385	General Viamonte	06413	Junín
06385	General Viamonte	06588	9 de Julio
06056	Bahía Blanca	06875	Villarino
06056	Bahía Blanca	06819	Tornquist
06056	Bahía Blanca	06196	Coronel Pringles
06056	Bahía Blanca	06182	Coronel de Marina Leonardo Rosales
06336	General Lavalle	06511	Maipú
06336	General Lavalle	06420	La Costa
06336	General Lavalle	06812	Tordillo
06336	General Lavalle	06644	Pinamar
06420	La Costa	06644	Pinamar
06505	Magdalena	06655	Punta Indio
06105	Bolívar	06798	Tapalqué
06105	Bolívar	06147	Carlos Casares
06105	Bolívar	06595	Olavarría
06105	Bolívar	06854	25 de Mayo
06105	Bolívar	06588	9 de Julio
06105	Bolívar	06287	General Alvear
06105	Bolívar	06406	Hipólito Yrigoyen
06105	Bolívar	06231	Daireaux
06351	General Pinto	06469	Lincoln
06351	General Pinto	06392	General Villegas
06351	General Pinto	06462	Leandro N. Alem
06742	San Cayetano	06833	Tres Arroyos
06007	Adolfo Alsina	06616	Pellegrini
06007	Adolfo Alsina	06651	Puán
06007	Adolfo Alsina	06203	Coronel Suárez
06007	Adolfo Alsina	06399	Guaminí
06007	Adolfo Alsina	06700	Saavedra
06007	Adolfo Alsina	06721	Salliqueló
06616	Pellegrini	06826	Trenque Lauquen
06616	Pellegrini	06721	Salliqueló
06616	Pellegrini	06847	Tres Lomas
06616	Pellegrini	06679	Rivadavia
06651	Puán	06875	Villarino
06651	Puán	06700	Saavedra
06651	Puán	06819	Tornquist
06826	Trenque Lauquen	06847	Tres Lomas
06301	General Belgrano	06547	Monte
06301	General Belgrano	06630	Pila
06301	General Belgrano	06455	Las Flores
06301	General Belgrano	06693	Roque Pérez
06301	General Belgrano	06343	General Paz
06547	Monte	06693	Roque Pérez
06210	Chacabuco	06413	Junín
06210	Chacabuco	06714	Salto
06210	Chacabuco	06686	Rojas
06210	Chacabuco	06784	Suipacha
06210	Chacabuco	06224	Chivilcoy
06756	San Isidro	06861	Vicente López
06756	San Isidro	06805	Tigre
06371	General San Martín	06861	Vicente López
06371	General San Martín	06805	Tigre
06371	General San Martín	06756	San Isidro
06371	General San Martín	06749	San Fernando
06371	General San Martín	06760	San Miguel
06371	General San Martín	06840	Tres de Febrero
06469	Lincoln	06588	9 de Julio
06469	Lincoln	06609	Pehuajó
06084	Benito Juárez	06791	Tandil
06084	Benito Juárez	06581	Necochea
06084	Benito Juárez	06448	Laprida
06084	Benito Juárez	06595	Olavarría
06175	Colón	06623	Pergamino
06175	Colón	06294	General Arenales
06175	Colón	06686	Rojas
06098	Berisso	06505	Magdalena
06098	Berisso	06245	Ensenada
06749	San Fernando	06805	Tigre
06749	San Fernando	06756	San Isidro
06203	Coronel Suárez	06322	General La Madrid
06203	Coronel Suárez	06399	Guaminí
06203	Coronel Suárez	06700	Saavedra
06203	Coronel Suárez	06819	Tornquist
06203	Coronel Suárez	06231	Daireaux
06014	Adolfo Gonzales Chaves	06742	San Cayetano
06014	Adolfo Gonzales Chaves	06833	Tres Arroyos
06014	Adolfo Gonzales Chaves	06084	Benito Juárez
06014	Adolfo Gonzales Chaves	06581	Necochea
06014	Adolfo Gonzales Chaves	06448	Laprida
