nombre	provincia	lon	lat	altura	nro	oaci
PRESIDENCIA ROQUE SAENZ PEÑA AERO	CHACO	-26.750000	-60.483333	93	87148	SARS
ESCUELA DE AVIACION MILITAR AERO	CORDOBA	-31.450000	-64.283333	502	87347	SACE
BASE BELGRANO II	ANTARTIDA	-77.866667	-34.633333	256	89034	SAYB
BASE CARLINI (EX JUBANY)	ANTARTIDA	-62.233333	-58.666667	11	89053	SAYJ
BASE ESPERANZA	ANTARTIDA	-63.400000	-57.000000	24	88963	SAYE
BASE MARAMBIO	ANTARTIDA	-64.233333	-56.633333	198	89055	SAWB
BASE ORCADAS	ANTARTIDA	-60.733333	-44.733333	12	88968	SAYO
BASE SAN MARTIN	ANTARTIDA	-68.133333	-67.100000	7	89066	SAYS
AZUL AERO	BUENOS AIRES	-36.833333	-59.883333	147	87641	SAZA
BAHIA BLANCA AERO	BUENOS AIRES	-38.716667	-62.166667	83	87750	SAZB
BENITO JUAREZ AERO	BUENOS AIRES	-37.700000	-59.783333	207	87649	SAZJ
BOLIVAR AERO	BUENOS AIRES	-36.183333	-61.066667	94	87640	SAZI
CAMPO DE MAYO AERO	BUENOS AIRES	-34.533333	-58.683333	26	87570	SADO
CORONEL PRINGLES AERO	BUENOS AIRES	-38.000000	-61.333333	247	87683	SABP
CORONEL SUAREZ AERO	BUENOS AIRES	-37.450000	-61.883333	233	87637	SAZC
DOLORES AERO	BUENOS AIRES	-36.316667	-57.716667	9	87648	SAZD
EL PALOMAR AERO	BUENOS AIRES	-34.600000	-58.616667	12	87571	SADP
EZEIZA AERO	BUENOS AIRES	-34.816667	-58.550000	20	87576	SAEZ
JUNIN AERO	BUENOS AIRES	-34.550000	-60.933333	81	87548	SAAJ
LA PLATA AERO	BUENOS AIRES	-34.966667	-57.900000	23	87593	SADL
LAS FLORES	BUENOS AIRES	-36.033333	-59.133333	36	87563	SAEL
MAR DEL PLATA AERO	BUENOS AIRES	-37.933333	-57.583333	21	87692	SAZM
MARIANO MORENO AERO	BUENOS AIRES	-34.550000	-58.783333	32	87572	SADJ
MERLO AERO	BUENOS AIRES	-34.683333	-58.750000	36	87573	SADR
MORON AERO	BUENOS AIRES	-34.666667	-58.633333	24	87574	SADM
NUEVE DE JULIO	BUENOS AIRES	-35.433333	-60.883333	76	87550	SAZX
OLAVARRIA AERO	BUENOS AIRES	-36.883333	-60.216667	166	87643	SAZF
PEHUAJO AERO	BUENOS AIRES	-35.833333	-61.866667	87	87544	SAZP
PIGUE AERO	BUENOS AIRES	-37.600000	-62.383333	304	87679	SAZE
PUNTA INDIO B.A.	BUENOS AIRES	-35.350000	-57.300000	22	87596	SAAI
SAN FERNANDO AERO	BUENOS AIRES	-34.450000	-58.583333	5	87553	SADF
TANDIL AERO	BUENOS AIRES	-37.233333	-59.233333	175	87645	SAZT
TRENQUE LAUQUEN	BUENOS AIRES	-35.966667	-62.733333	95	87540	SAET
