id	lat	lon	club	localidad	provincia	url
3	-34.538144	-58.706628	General Sarmiento	San Miguel	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=3
4	-34.600392	-58.520998	Fénix Devoto	Devoto	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=4
5	-34.665682	-58.380450	Sol Argentino	Avellaneda	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=5
7	-34.739773	-58.287882	Ntra. Sra. de Lourdes	Quilmes Oeste	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=7
8	-37.154702	-58.489753	Independiente de Ayacucho	Ayacucho	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=8
9	-34.519423	-58.492352	25 de Mayo	Olivos	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=9
10	-34.686205	-58.550459	CEDIMA	San Justo	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=10
13	-34.673024	-58.609425	Intendente Agüero	Morón	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=13
14	-34.548996	-58.581315	Sociedad Alemana	Villa Ballester	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=14
15	-34.618900	-58.451711	TopMINC	Caballito	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=15
16	-34.641077	-58.481795	Alvear	Parque Avellaneda	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=16
19	-34.591843	-58.431004	UGAB	Palermo	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=19
22	-40.136412	-71.291671	Sopa Pong	San Martín de los Andes	Neuquén	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=22
23	-34.709787	-58.388908	Peretz de Lanús	Lanús	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=23
24	-34.924288	-57.966982	Gimnasty - AJP	La Plata	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=24
25	-34.538533	-58.459951	Buchardo	Núñez	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=25
26	-37.840543	-58.256392	Sportivo y Trabajo	Balcarce	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=26
27	-34.609558	-58.429009	Nichia Gakuin	Almagro	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=27
31	-37.984404	-57.565295	El Cañon	Mar del Plata	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=31
34	-34.600781	-58.409675	O.H.A. Macabi	Balvanera	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=34
35	-34.674771	-58.389634	Rioja de Avellaneda	Avellaneda	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=35
36	-34.683881	-58.481705	Yupanqui	Villa Lugano	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=36
38	-34.787527	-58.381909	Cultural Che Lin	José Marmol	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=38
39	-34.619130	-58.489476	HCD	Floresta	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=39
41	-34.770114	-58.441519	Nuestro Barrio	Lomas de Zamora	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=41
42	-34.605938	-58.398410	Hebraica	Once	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=42
43	-34.593438	-58.446665	Atlanta	Villa Crespo	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=43
44	-34.546663	-58.449587	River Plate	Nuñez	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=44
45	-37.317269	-59.132134	Excursionistas	Tandil	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=45
46	-34.776112	-58.264167	TMR	Berazategui	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=46
47	-34.748819	-58.403903	23 C.H. Lomas	Lomas de Zamora	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=47
48	-34.642436	-58.662962	Ituzaingo Tenis de Mesa	Ituzaingo	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=48
52	-34.766859	-58.431578	Secretaría de Deportes de Lomas de Zamora	Lomas de Zamora	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=52
53	-34.673112	-58.397530	Peñarol	Valentín Alsina	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=53
55	-34.607227	-58.397380	Escuela Cangallo	Balvanera	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=55
57	-34.584971	-58.434180	Estrella de Maldonado	Colegiales	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=57
58	-37.278555	-56.984264	de Pesca	 Caza y Naútica	Villa Gesell	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=58
59	-34.419615	-58.735768	GTM-Zona Norte	Garín	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=59
60	-37.252172	-56.966840	Deportivo Español	Villa Gesell	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=60
64	-34.550304	-58.441154	FATEMA	Belgrano	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=64
65	-38.884823	-70.061464	Universitario del Comahue	Neuquén	Neuquén	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=65
67	-34.664361	-58.704105	C.A.S.A. de Padua Tenis de Mesa	San Antonio de Padua	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=67
69	-34.772613	-58.645665	Oeste Tenis de Mesa G. Catan	Gonzales Catan	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=69
70	-34.574801	-58.536079	Social Central Argentino	San Martín	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=70
72	-34.603114	-58.568020	CeDeM Municipalidad 3 de Febrero	Caseros	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=72
73	-34.575594	-58.453085	Instituto Compañía de María	Colegiales	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=73
75	-34.602905	-58.538314	Defensores de Santos Lugares	Santos Lugares	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=75
76	-32.943747	-60.670443	Asociacion Japonesa Rosario	Rosario	Santa Fe	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=76
77	-32.962240	-60.666490	Estadio Municipal J. Newbery	Rosario	Santa Fe	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=77
78	-32.937500	-60.687950	CASIEC	Rosario	Santa Fe	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=78
81	-34.796361	-58.386436	Adrogue Sith Spin	Adrogue	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=81
83	-34.538639	-58.548646	Social y Deportivo Charlone	Villa Ballester	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=83
85	-34.500739	-58.698170	Juventud Unida de Los Polvorines	Los Polvorines	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=85
87	-34.551175	-58.560905	Sportivo Villa Ballester	Villa Ballester	 San Martin	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=87
88	-34.558969	-58.427507	GEBA	Núñez	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=88
90	-34.924274	-57.958854	Libertad	La Plata	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=90
92	-29.115088	-59.665939	Barrio Norte Avellaneda	Avellaneda	Santa Fe	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=92
93	-38.112742	-57.842416	Circulo Deportivo	Otamendi	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=93
95	-34.769441	-58.649304	Catan Tenis de Mesa	González Catán	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=95
96	-34.617784	-58.445528	Ferrocarril Oeste	Caballito	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=96
97	-34.544700	-58.459499	Obras Sanitarias	Núñez	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=97
100	-34.776641	-58.629613	C.E. La Huella - Obra del Padre Mario	González Catán, La Matanza’	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=100
101	-34.706203	-58.277880	UNQ Tenis de Mesa	Bernal	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=101
102	-37.457783	-61.931117	Centro Deportivo Sarmiento	Coronel Suárez	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=102
107	-34.541166	-58.500012	Padilla	Villa Martelli	 Florida	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=107
108	-34.458548	-58.557065	San Fernando Tennis de Mesa	San Fernando	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=108
109	-34.621131	-58.506170	Polideportivo Bami Marcchagall	Monte Castro- CABA	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=109
110	-34.783841	-58.829525	S.A.P.A. Tenis de Mesa	Marcos Paz	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=110
111	-36.887746	-60.309905	ATEMO	Olavarria	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=111
112	-34.574492	-58.488720	Urquiza	Villa Urquiza	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=112
113	-34.430129	-58.571392	TIGRE TDM	Tigre	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=113
114	-34.614702	-58.421925	Asociación Calabresa	Boedo	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=114
115	-38.549029	-58.734644	Asociación Juntos por el Ping Pong	Necochea	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=115
116	-34.623698	-58.401637	Centro Okinawense en la Argentina	San Cristobal	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=116
117	-36.785922	-59.871660	Tenis de Mesa Azul	Azul	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=117
118	-35.631205	-59.780643	Tenis de Mesa Saladillo	Saladillo	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=118
119	-34.914076	-57.958979	Asociación Siriana Ortodoxa La Plata	La Plata	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=119
120	-34.946603	-57.969719	Los Hornos Tenis de Mesa	La Plata	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=120
122	-37.843058	-58.260910	Social y Deportivo Estudiantes	Balcarce	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=122
123	-34.625956	-58.522376	Ateneo Popular de Versailles	Versailles	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=123
124	-34.877342	-56.208090	Tennis Taula Montevideo	Montevideo	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=124
125	-34.902705	-56.186328	LTM	Montevideo	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=125
126	-34.415392	-57.450139	La Granja	Juan Lacaze	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=126
127	-34.906317	-56.214561	Neptuno	Montevideo	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=127
128	-34.909150	-56.143766	Banco República	Montevideo	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=128
129	-34.895359	-56.164762	Nacional de Football	La Blanqueada	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=129
130	-34.882537	-56.162778	Leutzscher Füchse Uruguay	Montevideo	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=130
132	-34.004932	-57.647571	Independiente de Miguelete	Miguelete	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=132
133	-34.780183	-55.566004	Los Titanes La Tuna	Balneario Los Titanes La Tuna	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=133
135	-34.775134	-55.652280	Social y Deportivo Costa Azul	Balneario Costa Azul	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=135
140	-34.488748	-54.325615	Círculo Rochense de Tenis de Mesa	Rocha	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=140
141	-34.521565	-58.740287	Centro de Entrenamiento-Escuela Tenis de Mesa M&E	Jose C. Paz	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=141
143	-34.898244	-56.071799	Náutico de Carrasco y Punta Gorda	Montevideo	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=143
144	-34.339525	-56.712929	San José	San José de Mayo	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=144
145	-33.256378	-58.036008	Mercedes Tenis de Mesa	Mercedes	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=145
146	-34.635239	-58.572445	Social	Villa Sarmiento	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=146
148	-34.496467	-58.515590	BANADE (Banco Nacional de Desarrollo)	Martinez	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=148
149	-34.647474	-59.422725	Atlético El Porvenir	Mercedes	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=149
150	-34.894803	-57.970886	Sud América	Tolosa	 La Plata	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=150
151	-34.346854	-57.270312	Atlético Esparta	Colonia Valdense	Uruguay	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=151
152	-34.616997	-58.374438	La Mesita de Independencia	San Telmo	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=152
153	-38.019034	-57.571977	Ingeniero Acosta	Mar del Plata	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=153
154	-34.904848	-60.017192	Tenis de Mesa Chivilcoy	Chivilcoy	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=154
155	-34.421332	-58.585076	Atlético Unión Tigrense	Tigre	Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=155
156	-34.607544	-58.430467	Instituto Sudamericano Modelo	C.A.B.A.	Capital Federal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=156
157	-34.701269	-58.586821	ADIMA (Atletas Discapacitados de Matanza)	Isidro Casanova	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=157
158	-34.519591	-58.479823	Nikkei TDM - Sede Vicente Lopez	Vicente Lopez	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=158
159	-34.534877	-58.506926	Social y Deportivo Union Florida	Florida	Gran Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=159
