id	lat	lon	club	url
3	-34.538144	-58.706628	General Sarmiento	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=3
4	-34.587626	-58.479111	Fénix Devoto	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=4
7	-34.739773	-58.287882	Ntra. Sra. de Lourdes	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=7
9	-34.519423	-58.492352	25 de Mayo	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=9
10	-34.686205	-58.550459	CEDIMA	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=10
13	-34.673024	-58.609425	Intendente Agüero	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=13
15	-34.618900	-58.451711	TopMINC	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=15
16	-34.641077	-58.481795	Alvear 	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=16
19	-34.591843	-58.431004	UGAB Academia Ping Pong	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=19
22	-40.136412	-71.291671	Sopa Pong	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=22
23	-34.709787	-58.388908	Peretz de Lanús	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=23
24	-34.924288	-57.966982	Gimnasty - AJP	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=24
26	-37.840543	-58.256392	Sportivo y Trabajo	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=26
27	-34.609558	-58.429009	Nichia Gakuin	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=27
31	-37.984404	-57.565295	El Cañon	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=31
34	-34.600781	-58.409675	O.H.A. Macabi	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=34
35	-34.674771	-58.389634	Rioja de Avellaneda	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=35
36	-34.683881	-58.481705	Yupanqui	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=36
38	-34.787527	-58.381909	Cultural Che Lin	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=38
42	-34.605938	-58.398410	Hebraica	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=42
43	-34.592990	-58.446814	Atlanta	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=43
44	-34.546663	-58.449587	River Plate	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=44
45	-37.317269	-59.132134	Excursionistas	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=45
46	-34.776112	-58.264167	TMR	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=46
48	-34.642436	-58.662962	Ituzaingo Tenis de Mesa	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=48
