city	lon	lat	value
Piñeiro	-58.3884315	-34.669651	100
Avellaneda	-58.3669739	-34.6610756	100
Bernal	-58.28008269999999	-34.7108688	95
Crucecita	-58.35132220000001	-34.6677742	89
Lanús Este	-58.39207949999999	-34.6994795	89
Zona de Reserva	-58.3058461	-34.683108	88
Ramos Mejía	-58.5536355	-34.6549073	87
Gerli	-58.3720894	-34.6846809	85
Lomas de Zamora	-58.4302476	-34.76118230000001	84
Remedios de Escalada	-58.39850999999999	-34.7212143	83
La Plata	-57.95356570000001	-34.9204948	81
Villa Sarmiento	-58.57056119999999	-34.6338633	80
Gonnet	-58.021431	-34.8889618	79
Wilde	-58.3205986	-34.7040787	78
Vicente López	-58.473816	-34.5281205	77
Mercedes	-59.43059960000001	-34.6510201	77
Florida	-58.4909058	-34.5329498	76
Tolosa	-57.9830589	-34.8992653	76
San Isidro	-58.5286102	-34.470829	75
Morón	-58.6167212	-34.6558611	75
Haedo	-58.59564279999999	-34.6440676	75
Florida Oeste	-58.5145868	-34.5386091	74
Ituzaingó	-58.6753978	-34.6570243	74
Temperley	-58.3792534	-34.7678337	73
Paso del Rey	-58.75231549999999	-34.6360397	72
Lanús Oeste	-58.39207949999999	-34.6994795	72
Villa Domínico	-58.3320999	-34.695385	72
Villa Luzuriaga	-58.59329990000001	-34.6717415	72
Banfield	-58.39173160000001	-34.74461120000001	71
Quilmes	-58.25460510000001	-34.7206336	71
Castelar	-58.64524369999999	-34.6554584	69
Carapachay	-58.5360185	-34.5264942	69
Bella Vista	-58.6903973	-34.5637055	69
Lomas del Mirador	-58.5297986	-34.6663627	69
San Fernando	-58.55796429999999	-34.4430618	68
Adrogué	-58.3889046	-34.80123520000001	68
San Antonio de Padua	-58.7000008	-34.6666718	68
Boulogne	-58.5671668	-34.5012257	67
Béccar	-58.53476089999999	-34.4640891	66
Jose Leon Suarez	-58.57340480000001	-34.529389	66
Mar del Plata	-57.5426106	-38.0054771	65
El Palomar	-58.5943604	-34.6266731	65
Villa Lynch	-58.5320001	-34.587664	64
Claypole	-58.3422813	-34.800869	64
Berisso	-57.88371729999999	-34.8730675	63
Monte Chingolo	-58.3534546	-34.728054	63
La Tablada	-58.53200299999999	-34.6855199	63
Florencio Varela	-58.27601199999999	-34.7965806	63
Loma Hermosa	-58.6022422	-34.568072	62
Munro	-58.52435009999999	-34.5304233	62
