country	attending	display_name	lat	lon
USA	854	United States of America	39.7837304	-100.4458825
Canada	39	Canada	61.0666922	-107.9917071
South Korea	25	대한민국	36.5581914	127.9408564
Germany	24	Deutschland, Europe	51.0834196	10.4234469
Norway	24	Norge	60.5000209	9.0999715
UK	22	UK	54.7023545	-3.2765753
Denmark	18	Danmark	55.670249	10.3333283
Australia	16	Australia	-24.7761086	134.755
Sweden	16	Sverige	59.6749712	14.5208584
Netherlands	13	Nederland	52.5001698	5.7480821
Italy	11	Italia	42.6384261	12.674297
Brazil	9	Brasil	-10.3333333	-53.2
France	9	France	46.603354	1.8883335
Finland	8	Suomi	63.2467777	25.9209164
South Africa	8	South Africa	-28.8166236	24.991639
Spain	8	España	40.0028028	-4.003104
Japan	7	日本	36.5748441	139.2394179
Israel	6	מדינת ישראל	30.8760272	35.0015196
Switzerland	6	Switzerland	46.7985624	8.2319736
Czech Republic	4	Česko	49.8167003	15.4749544
Nigeria	4	Nigeria	9.6000359	7.9999721
